FPS|deltaTimeS|renderingMode|numTris|numDrawCalls|objectCount
116.8607|0.0085572|instanced|1794970|17|1
109.4307|0.009138201|instanced|1794970|17|1
102.0179|0.009802197|instanced|1794970|17|1
120.0696|0.0083285|instanced|1794970|17|1
123.1618|0.008119402|instanced|1436362|16|1
89.8723|0.0111269|instanced|1436362|16|1
85.70892|0.0116674|instanced|1794970|17|1
121.5494|0.008227104|instanced|1794970|17|1
119.772|0.008349199|instanced|1794970|17|1
108.4082|0.009224398|instanced|1436362|16|1
96.54189|0.0103582|instanced|1436362|16|1
114.3719|0.008743403|instanced|1794970|17|1
127.6064|0.0078366|instanced|1794970|17|1
91.87548|0.0108843|instanced|1794970|17|1
133.8652|0.007470203|instanced|1794970|17|1
147.6364|0.006773399|instanced|1794970|17|1
160.9943|0.006211401|instanced|1794970|17|1
96.79325|0.0103313|instanced|1794970|17|1
130.7206|0.007649901|instanced|1794970|16|1
99.87218|0.0100128|instanced|1794970|16|1
138.5694|0.007216603|instanced|1794970|17|1
110.2147|0.0090732|instanced|1794970|17|1
133.9944|0.007462996|instanced|1794970|17|1
118.2494|0.008456703|instanced|1794970|17|1
114.4361|0.008738499|instanced|1794970|17|1
115.8923|0.008628699|instanced|1794970|17|1
111.4194|0.008975099|instanced|1794970|17|1
84.14745|0.0118839|instanced|1794970|17|1
139.507|0.007168098|instanced|1794970|17|1
130.3797|0.007669905|instanced|1794970|17|1
88.74138|0.0112687|instanced|1794970|17|1
94.00793|0.0106374|instanced|1794970|17|1
101.3305|0.0098687|instanced|1794970|17|1
98.06422|0.0101974|instanced|1794970|17|1
146.6384|0.006819494|instanced|1794970|17|1
94.82533|0.01054571|instanced|1794970|17|1
87.20068|0.0114678|instanced|1794970|17|1
59.21785|0.0168868|instanced|1794970|16|1
48.91388|0.0204441|instanced|1794970|17|1
68.25751|0.0146504|instanced|1794970|17|1
46.39317|0.0215549|instanced|1794970|17|1
78.97334|0.0126625|instanced|1794970|17|1
60.52205|0.0165229|instanced|1794970|17|1
74.80214|0.0133686|instanced|1794970|17|1
116.2075|0.0086053|instanced|1794970|17|1
121.6309|0.008221598|instanced|1794970|17|1
68.8113|0.0145325|instanced|1436362|17|1
76.19801|0.0131237|instanced|1436362|17|1
79.06264|0.0126482|instanced|1794970|17|1
67.51875|0.0148107|instanced|1794970|16|1
80.15453|0.0124759|instanced|1794970|17|1
128.2858|0.007795096|instanced|1794970|17|1
106.9152|0.009353203|instanced|1794970|17|1
116.0335|0.008618197|instanced|1794970|17|1
76.56911|0.0130601|instanced|1794970|17|1
56.35517|0.0177446|instanced|1794970|17|1
66.644|0.0150051|instanced|1794970|17|1
63.03104|0.0158652|instanced|1794970|17|1
56.57901|0.0176744|instanced|1794970|17|1
59.26698|0.0168728|instanced|1794970|17|1
77.91137|0.0128351|instanced|1794970|17|1
55.55339|0.0180007|instanced|1794970|17|1
72.30031|0.0138312|instanced|1794970|17|1
78.42091|0.0127517|instanced|1794970|17|1
69.11901|0.0144678|instanced|1794970|17|1
65.00386|0.0153837|instanced|1794970|17|1
106.0513|0.009429401|instanced|1794970|17|1
127.9444|0.007815895|instanced|1794970|17|1
95.62329|0.0104577|instanced|1794970|17|1
120.424|0.008303996|instanced|1794970|17|1
73.24129|0.0136535|instanced|1794970|17|1
81.86251|0.0122156|instanced|1794970|17|1
81.66265|0.0122455|instanced|1794970|17|1
105.2577|0.009500496|instanced|1794970|17|1
140.1855|0.007133404|instanced|1794970|17|1
146.2267|0.006838697|instanced|1794970|17|1
101.3007|0.009871598|instanced|1794970|17|1
103.5668|0.009655605|instanced|1794970|17|1
92.75234|0.0107814|instanced|1794970|17|1
111.2644|0.008987599|instanced|1794972|17|1
98.02383|0.0102016|instanced|1794970|17|1
101.1348|0.009887798|instanced|1794970|17|1
96.29366|0.0103849|instanced|1794970|17|1
125.8558|0.007945599|instanced|1794970|17|1
124.8782|0.008007802|instanced|1794970|17|1
127.9901|0.007813103|instanced|1794970|17|1
94.22851|0.0106125|instanced|1794970|17|1
116.8785|0.008555896|instanced|1077754|16|1
106.4475|0.009394303|instanced|1794970|17|1
118.0039|0.008474299|instanced|1794970|17|1
131.5271|0.007602998|instanced|1794970|17|1
123.0224|0.0081286|instanced|1436362|16|1
89.54871|0.01116711|instanced|1794970|17|1
96.11966|0.0104037|instanced|1436362|16|1
104.3341|0.009584595|instanced|1794970|17|1
104.9648|0.009527005|instanced|1794970|17|1
125.7134|0.007954599|instanced|1794970|17|1
132.1353|0.007567999|instanced|1794970|17|1
