deltaTimeS|cameraDistance|lod_level
0.004750794|3.045983|0
0.005058602|3.045983|0
0.005309403|3.045983|0
0.005187195|3.045983|0
0.005090802|3.045983|0
0.004631597|3.045983|0
0.0046857|3.045983|0
0.005646904|3.045983|0
0.004791702|3.045983|0
0.005402097|3.045983|0
0.004879401|3.045983|0
0.004801396|3.045983|0
0.004693601|3.045983|0
0.005454004|3.045983|0
0.004889895|3.045983|0
0.005011501|3.045983|0
0.006233199|3.045983|0
0.005991206|3.045983|0
0.004957596|3.045983|0
0.005245302|3.045983|0
0.004558603|3.045983|0
0.0054527|3.045983|0
0.005106399|3.045983|0
0.005008999|3.045983|0
0.004847201|3.045983|0
0.0052688|3.045983|0
0.004864094|3.045983|0
0.005394104|3.045983|0
0.0055134|3.045983|0
0.004792801|3.045983|0
0.004638095|3.045983|0
0.004790901|3.045983|0
0.004689902|3.045983|0
0.005258503|3.045983|0
0.005237394|3.045983|0
0.0048705|3.045983|0
0.005511905|3.045983|0
0.005586196|3.045983|0
0.004954301|3.045983|0
0.004876304|3.045983|0
0.005311593|3.045983|0
0.004973002|3.045983|0
0.005211798|3.045983|0
0.005316901|3.045983|0
0.004916603|3.045983|0
0.0049223|3.045983|0
0.005557199|3.045983|0
0.006036501|3.045983|0
0.006307901|3.045983|0
0.0056447|3.045983|0
0.004923902|3.045983|0
0.004825199|3.045983|0
0.005398498|3.045983|0
0.004968998|3.045983|0
0.006082901|3.045983|0
0.005100602|3.045983|0
0.005093297|3.045983|0
0.004769806|3.045983|0
0.004473094|3.045983|0
0.004681604|3.045983|0
0.004624596|3.045983|0
0.004818502|3.045983|0
0.004847499|3.045983|0
0.005254004|3.045983|0
0.005468296|3.045983|0
0.005421499|3.045983|0
0.005085502|3.045983|0
0.005871003|3.045983|0
0.004747796|3.045983|0
0.004962805|3.045983|0
0.005043495|3.045983|0
0.004760403|3.045983|0
0.005083|3.045983|0
0.005233603|3.045983|0
0.005338294|3.045983|0
0.005138202|3.045983|0
0.005309602|3.045983|0
0.005583199|3.045983|0
0.005695904|3.045983|0
0.006718297|3.045983|0
0.0049732|3.045983|0
0.005475503|3.045983|0
0.005238294|3.045983|0
0.004946903|3.045983|0
0.005664498|3.045983|0
0.005462202|3.045983|0
0.0048429|3.045983|0
0.004774398|3.045983|0
0.005510303|3.045983|0
0.004832696|3.045983|0
0.004724001|3.045983|0
0.005372399|3.045983|0
0.0048625|3.045983|0
0.005402204|3.045983|0
0.005573101|3.045983|0
0.004993297|3.045983|0
0.004579401|3.045983|0
0.004660601|3.045983|0
0.004674497|3.045983|0
0.004413705|3.045983|0
0.004683001|3.045983|0
0.004526899|3.045983|0
0.004549199|3.045983|0
0.0045009|3.045983|0
0.004804202|3.045983|0
0.004800496|3.045983|0
0.005052005|3.045983|0
0.0047991|3.045983|0
0.004283298|3.045983|0
0.005596499|3.045983|0
0.005681498|3.045983|0
0.004739002|3.045983|0
