deltaTimeS;cameraDistance;cameraPosition;cameraSpeed (from position);rotationAngularSpeed;;;DeltaTime ;FPS;;;;;;
0,0069927010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0073469960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0071061010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0064415040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0059558960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0085028980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056015020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0062269980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052833050;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052486960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052037980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0061358060;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0057953940;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0060297050;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0055836950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056526000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0064811010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065892010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0057500990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0063919010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052857000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0055613020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0075761970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0062786000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067296980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0055632010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0059758010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0083329010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056304990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0057926020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0069654980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052290040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0060135980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056497020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0049048960;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0127119000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0056655040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0074190970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0065365010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066777990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0047536990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0053608990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067685020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0066698980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0063143000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0063635060;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052121950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0052866990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070325040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0054892010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0061267010;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0067605940;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0043730020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0053379040;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0057137970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0046384000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070072990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
